Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2022-10-10,137.974853515625,113.66999816894531,97.05781555175781,222.7592010498047,222.9600067138672
2022-10-11,136.55992126464844,112.20999908447266,96.38338470458984,219.0279541015625,216.5
2022-10-12,135.93106079101562,112.9000015258789,96.7602767944336,219.35830688476562,217.24000549316406
2022-10-13,140.50013732910156,112.52999877929688,98.24798583984375,227.60794067382812,221.72000122070312
2022-10-14,135.9703826904297,106.9000015258789,95.76847076416016,222.08872985839844,204.99000549316406
2022-10-17,139.93023681640625,113.79000091552734,99.15052795410156,230.80477905273438,219.35000610351562
2022-10-18,141.24688720703125,116.36000061035156,99.94395446777344,231.74729919433594,220.19000244140625
2022-10-19,141.35498046875,115.06999969482422,98.81330871582031,229.7845001220703,222.0399932861328
2022-10-20,140.89317321777344,115.25,99.15052795410156,229.4638671875,207.27999877929688
2022-10-21,144.70558166503906,119.31999969482422,100.3010025024414,235.2648162841797,214.44000244140625
2022-10-24,146.84765625,119.81999969482422,101.67961120605469,240.24957275390625,211.25
2022-10-25,149.68731689453125,120.5999984741211,103.6235580444336,243.5630645751953,222.4199981689453
2022-10-26,146.74937438964844,115.66000366210938,94.15182495117188,224.7706298828125,224.63999938964844
2022-10-27,142.27859497070312,110.95999908447266,91.46405029296875,220.3300018310547,225.08999633789062
2022-10-28,153.0281524658203,103.41000366210938,95.50069427490234,229.19178771972656,228.52000427246094
2022-10-31,150.66989135742188,102.44000244140625,93.73526763916016,225.5576629638672,227.5399932861328
2022-11-01,148.02674865722656,96.79000091552734,89.72840881347656,221.7097625732422,227.82000732421875
2022-11-02,142.50460815429688,92.12000274658203,86.25708770751953,213.8682861328125,214.97999572753906
2022-11-03,136.461669921875,89.30000305175781,82.74610137939453,208.18389892578125,215.30999755859375
2022-11-04,136.1959228515625,90.9800033569336,85.87028503417969,215.12176513671875,207.47000122070312
2022-11-07,136.7274169921875,90.52999877929688,87.76461791992188,221.41827392578125,197.0800018310547
2022-11-08,137.2982635498047,89.9800033569336,88.17127227783203,222.38995361328125,191.3000030517578
2022-11-09,132.74131774902344,86.13999938964844,86.60420989990234,218.15342712402344,177.58999633789062
2022-11-10,144.5519561767578,96.62999725341797,93.16995239257812,236.1004638671875,190.72000122070312
2022-11-11,147.33729553222656,100.79000091552734,95.61971282958984,240.113525390625,195.97000122070312
2022-11-14,145.93971252441406,98.48999786376953,94.91551971435547,234.7109832763672,190.9499969482422
2022-11-15,147.67189025878906,98.94000244140625,97.63306427001953,235.11907958984375,194.4199981689453
2022-11-16,146.44163513183594,97.12000274658203,98.0396957397461,235.54783630371094,186.9199981689453
2022-11-17,148.34121704101562,94.8499984741211,97.55371856689453,235.49908447265625,183.1699981689453
2022-11-18,148.90220642089844,94.13999938964844,96.63134765625,235.05084228515625,180.19000244140625
2022-11-21,145.67393493652344,92.45999908447266,94.81633758544922,235.859619140625,167.8699951171875
2022-11-22,147.80967712402344,93.19999694824219,96.25446319580078,238.76341247558594,169.91000366210938
2022-11-23,148.68569946289062,94.12999725341797,97.65290069580078,241.24822998046875,183.1999969482422
2022-11-25,145.77236938476562,93.41000366210938,96.66108703613281,241.1604766845703,182.86000061035156
2022-11-28,141.94378662109375,93.94999694824219,95.26266479492188,235.57705688476562,182.9199981689453
2022-11-29,138.9419403076172,92.41999816894531,94.40970611572266,234.1836395263672,180.8300018310547
2022-11-30,145.69361877441406,96.54000091552734,100.16216278076172,248.6148681640625,194.6999969482422
2022-12-01,145.96922302246094,95.5,100.16216278076172,248.17637634277344,194.6999969482422
2022-12-02,145.4770965576172,94.12999725341797,99.6166763305664,248.49794006347656,194.86000061035156
2022-12-05,144.3157501220703,91.01000213623047,98.66454315185547,243.80117797851562,182.4499969482422
2022-12-06,140.65447998046875,88.25,96.18502807617188,238.85113525390625,179.82000732421875
2022-12-07,138.71556091308594,88.45999908447266,94.16175079345703,238.1202850341797,174.0399932861328
2022-12-08,140.39854431152344,90.3499984741211,92.94183349609375,241.07281494140625,173.44000244140625
2022-12-09,139.9163055419922,89.08999633789062,92.06904602050781,239.1434326171875,179.0500030517578
2022-12-12,142.20953369140625,90.55000305175781,92.54511260986328,246.05209350585938,167.82000732421875
2022-12-13,143.17405700683594,92.48999786376953,94.84609985351562,250.34933471679688,160.9499969482422
2022-12-14,140.94972229003906,91.58000183105469,94.29067993164062,250.6416778564453,156.8000030517578
2022-12-15,134.34561157226562,88.44999694824219,90.11519622802734,242.64161682128906,157.6699981689453
2022-12-16,132.3870391845703,87.86000061035156,89.52011108398438,238.43209838867188,150.22999572753906
2022-12-19,130.28079223632812,84.91999816894531,87.71503448486328,234.30052185058594,149.8699951171875
2022-12-20,130.2119140625,85.19000244140625,88.29029083251953,235.6160125732422,137.8000030517578
2022-12-21,133.3122100830078,86.7699966430664,88.84568786621094,238.17877197265625,137.57000732421875
2022-12-22,130.1430206298828,83.79000091552734,87.04061126708984,232.0983428955078,125.3499984741211
2022-12-23,129.77886962890625,85.25,88.49855041503906,232.62451171875,123.1500015258789
2022-12-27,127.97772979736328,83.04000091552734,86.67364501953125,230.8998260498047,109.0999984741211
2022-12-28,124.05071258544922,81.81999969482422,85.31486511230469,228.5319366455078,112.70999908447266
2022-12-29,127.56438446044922,84.18000030517578,87.7249526977539,234.84620666503906,121.81999969482422
2022-12-30,127.87928771972656,84.0,87.50675964355469,233.68667602539062,123.18000030517578
2023-01-03,123.09600830078125,85.81999969482422,88.38946533203125,233.4528045654297,108.0999984741211
2023-01-04,124.36566162109375,85.13999938964844,87.35798645019531,223.2408447265625,113.63999938964844
2023-01-05,123.04680633544922,83.12000274658203,85.49339294433594,216.62448120117188,110.33999633789062
2023-01-06,127.57420349121094,86.08000183105469,86.62403869628906,219.17742919921875,113.05999755859375
2023-01-09,128.09584045410156,87.36000061035156,87.29846954345703,221.31146240234375,119.7699966430664
2023-01-10,128.66668701171875,89.87000274658203,87.69519805908203,222.99722290039062,118.8499984741211
2023-01-11,131.38316345214844,95.08999633789062,90.769775390625,229.740234375,123.22000122070312
2023-01-12,131.30441284179688,95.2699966430664,90.38298797607422,232.41017150878906,123.55999755859375
2023-01-13,132.63308715820312,98.12000274658203,91.3648681640625,233.11175537109375,122.4000015258789
2023-01-17,133.79446411132812,96.05000305175781,90.54167938232422,234.2030792236328,131.49000549316406
2023-01-18,133.0759735107422,95.45999908447266,90.3730697631836,229.7792205810547,128.77999877929688
2023-01-19,133.13504028320312,93.68000030517578,92.2872543334961,225.99844360351562,127.16999816894531
2023-01-20,135.6939697265625,97.25,97.21650695800781,234.07643127441406,133.4199981689453
2023-01-23,138.88284301757812,97.5199966430664,98.97200012207031,236.37608337402344,143.75
2023-01-24,140.2804412841797,96.31999969482422,96.89912414550781,235.84988403320312,143.88999938964844
2023-01-25,139.62103271484375,97.18000030517578,94.43946838378906,234.4564666748047,144.42999267578125
2023-01-26,141.68789672851562,99.22000122070312,96.72058868408203,241.65745544433594,160.27000427246094
2023-01-27,143.6267547607422,102.23999786376953,98.5554428100586,241.81336975097656,177.89999389648438
2023-01-30,140.74302673339844,100.55000305175781,96.1453628540039,236.5027618408203,166.66000366210938
2023-01-31,142.01268005371094,103.12999725341797,98.02978515625,241.47232055664062,173.22000122070312
2023-02-01,143.13465881347656,105.1500015258789,99.60675048828125,246.28594970703125,181.41000366210938
2023-02-02,148.4396514892578,112.91000366210938,106.85684204101562,257.83294677734375,188.27000427246094
2023-02-03,152.06150817871094,103.38999938964844,103.92108917236328,251.74273681640625,189.97999572753906
2023-02-06,149.3352508544922,102.18000030517578,102.05650329589844,250.2031707763672,194.75999450683594
2023-02-07,152.2091522216797,102.11000061035156,106.75764465332031,260.71722412109375,196.80999755859375
2023-02-08,149.52227783203125,100.05000305175781,98.5554428100586,259.90850830078125,201.2899932861328
2023-02-09,148.4888153076172,98.23999786376953,94.23116302490234,256.8779296875,207.32000732421875
2023-02-10,148.85353088378906,97.61000061035156,93.79478454589844,256.371337890625,196.88999938964844
2023-02-13,151.65298461914062,99.54000091552734,93.83446502685547,264.3810729980469,194.63999938964844
2023-02-14,151.0122528076172,99.69999694824219,93.9039077758789,265.2093505859375,209.25
2023-02-15,153.11183166503906,101.16000366210938,96.1453628540039,263.08953857421875,214.24000549316406
2023-02-16,151.5149688720703,98.1500015258789,94.72708129882812,256.08538818359375,202.0399932861328
2023-02-17,150.37156677246094,97.19999694824219,93.57659149169922,252.0899658203125,208.30999755859375
2023-02-21,146.3596649169922,94.58000183105469,91.03758239746094,246.82470703125,197.3699951171875
2023-02-22,146.7835235595703,95.79000091552734,90.89872741699219,245.6915283203125,200.86000061035156
2023-02-23,147.26651000976562,95.81999969482422,90.14495849609375,248.8761444091797,202.07000732421875
2023-02-24,144.61492919921875,93.5,88.39937591552734,243.45449829101562,196.8800048828125
2023-02-27,145.80764770507812,93.76000213623047,89.13331604003906,244.37277221679688,207.6300048828125
2023-02-28,145.30496215820312,94.2300033569336,89.32174682617188,243.64987182617188,205.7100067138672
2023-03-01,143.23495483398438,92.16999816894531,89.61929321289062,240.57278442382812,202.77000427246094
2023-03-02,143.82638549804688,92.12999725341797,91.245849609375,245.30079650878906,190.89999389648438
2023-03-03,148.8732452392578,94.9000015258789,92.88233947753906,249.3840789794922,197.7899932861328
2023-03-06,151.63328552246094,93.75,94.35018157958984,250.92752075195312,193.80999755859375
2023-03-07,149.43508911132812,93.55000305175781,93.09060668945312,248.27044677734375,187.7100067138672
2023-03-08,150.68698120117188,93.91999816894531,93.47740936279297,247.83090209960938,182.0
2023-03-09,148.43955993652344,92.25,91.563232421875,246.48280334472656,172.9199981689453
2023-03-10,146.37940979003906,90.7300033569336,89.8870849609375,242.83908081054688,173.44000244140625
2023-03-13,148.3212432861328,92.43000030517578,90.36315155029297,248.04579162597656,174.47999572753906
2023-03-14,150.4109649658203,94.87999725341797,93.19970703125,254.75685119628906,183.25999450683594
2023-03-15,150.80528259277344,96.19999694824219,95.32217407226562,259.29925537109375,180.4499969482422
2023-03-16,153.62445068359375,100.04000091552734,99.4976577758789,269.8103942871094,184.1300048828125
2023-03-17,152.7865753173828,98.94999694824219,100.78699493408203,272.96563720703125,180.1300048828125
2023-03-20,155.15231323242188,97.70999908447266,100.39027404785156,265.93218994140625,183.25
2023-03-21,157.0054473876953,100.61000061035156,104.05995178222656,267.4462890625,197.5800018310547
2023-03-22,155.57618713378906,98.69999694824219,102.52265167236328,265.9908142089844,191.14999389648438
2023-03-23,156.66041564941406,98.70999908447266,104.73436737060547,271.2366027832031,192.22000122070312
2023-03-24,157.9615936279297,98.12999725341797,104.57569122314453,274.07928466796875,190.41000366210938
2023-03-27,156.01971435546875,98.04000091552734,101.62010955810547,269.9862365722656,191.80999755859375
2023-03-28,155.3987274169922,97.23999786376953,100.20184326171875,268.86279296875,189.19000244140625
2023-03-29,158.47413635253906,100.25,100.55888366699219,274.0206604003906,193.8800048828125
2023-03-30,160.04148864746094,102.0,100.06298065185547,277.478759765625,195.27999877929688
2023-03-31,162.54518127441406,103.29000091552734,102.87969970703125,281.63043212890625,207.4600067138672
2023-04-03,163.79705810546875,102.41000366210938,103.50453186035156,280.58514404296875,194.77000427246094
2023-04-04,163.26475524902344,103.94999694824219,103.86160278320312,280.536376953125,192.5800018310547
2023-04-05,161.4214630126953,101.0999984741211,103.61363220214844,277.7620849609375,185.52000427246094
2023-04-06,162.3086395263672,102.05999755859375,107.53125,284.85406494140625,185.05999755859375
2023-04-10,159.71615600585938,102.16999816894531,105.5674819946289,282.69525146484375,184.50999450683594
2023-04-11,158.5037384033203,99.91999816894531,104.48641967773438,276.2869873046875,186.7899932861328
2023-04-12,157.813720703125,97.83000183105469,103.78224182128906,276.93170166015625,180.5399932861328
2023-04-13,163.1957550048828,102.4000015258789,106.54937744140625,283.13482666015625,185.89999389648438
2023-04-14,162.85076904296875,102.51000213623047,107.97757720947266,279.5204162597656,185.0
2023-04-17,162.87049865722656,102.73999786376953,105.10134887695312,282.118896484375,187.0399932861328
2023-04-18,164.09278869628906,102.30000305175781,103.64338684082031,281.69879150390625,184.30999755859375
2023-04-19,165.23622131347656,104.30000305175781,103.32601165771484,281.7769775390625,180.58999633789062
2023-04-20,164.27020263671875,103.80999755859375,104.42691802978516,279.4910888671875,162.99000549316406
2023-04-21,162.66348266601562,106.95999908447266,104.54593658447266,279.14923095703125,165.0800018310547
2023-04-24,162.96905517578125,106.20999908447266,105.10134887695312,275.2514343261719,162.5500030517578
2023-04-25,161.43136596679688,102.56999969482422,102.99871826171875,269.0483703613281,160.6699981689453
2023-04-26,161.4214630126953,104.9800033569336,102.85986328125,288.536865234375,153.75
2023-04-27,166.0050811767578,109.81999969482422,106.70805358886719,297.77801513671875,160.19000244140625
2023-04-28,167.2569122314453,105.44999694824219,106.4601058959961,300.1518249511719,164.30999755859375
2023-05-01,167.16819763183594,102.05000305175781,106.32125854492188,298.49114990234375,161.8300018310547
2023-05-02,166.13320922851562,103.62999725341797,104.4566650390625,298.34466552734375,160.30999755859375
2023-05-03,165.05877685546875,103.6500015258789,104.54593658447266,297.35797119140625,160.61000061035156
2023-05-04,163.42245483398438,104.0,103.83183288574219,298.34466552734375,161.1999969482422
2023-05-05,171.09140014648438,105.66000366210938,104.70462036132812,303.4634094238281,170.05999755859375
2023-05-08,171.0223846435547,105.83000183105469,106.88658142089844,301.5096435546875,171.7899932861328
2023-05-09,169.3170928955078,106.62000274658203,106.47002410888672,299.89788818359375,169.14999389648438
2023-05-10,171.08151245117188,110.19000244140625,110.8339614868164,305.0849609375,168.5399932861328
2023-05-11,171.268798828125,112.18000030517578,115.61444091796875,302.93585205078125,172.0800018310547
